Code,NCS,Occupation,Slug
DF001,NA,Coast Guard,/career/coast-guard/
DF001,NA,तटरक्षक बल,/hi/career/%e0%a4%a4%e0%a4%9f%e0%a4%b0%e0%a4%95%e0%a5%8d%e0%a4%b7%e0%a4%95-%e0%a4%ac%e0%a4%b2/
DF002,NA,Indian Air Force officer,/career/indian-air-force-officer/
DF002,NA,भारतीय वायु सेना अधिकारी (Indian Air Force Officer),/hi/career/%e0%a4%ad%e0%a4%be%e0%a4%b0%e0%a4%a4%e0%a5%80%e0%a4%af-%e0%a4%b5%e0%a4%be%e0%a4%af%e0%a5%81-%e0%a4%b8%e0%a5%87%e0%a4%a8%e0%a4%be-%e0%a4%85%e0%a4%a7%e0%a4%bf%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%80-indian/
DF003,NA,Border Security Force (BSF),/career/border-security-force-bsf/
DF003,NA,सीमा सुरक्षा बल (बी.एस.एफ.) [Border Security Force (BSF)],/hi/career/%e0%a4%b8%e0%a5%80%e0%a4%ae%e0%a4%be-%e0%a4%b8%e0%a5%81%e0%a4%b0%e0%a4%95%e0%a5%8d%e0%a4%b7%e0%a4%be-%e0%a4%ac%e0%a4%b2-%e0%a4%ac%e0%a5%80-%e0%a4%8f%e0%a4%b8-%e0%a4%8f%e0%a4%ab-border-security-for/
DF004,NA,Indian Army Officer,/career/indian-army-officer/
DF004,NA,भारतीय थल सेना अधिकारी (Indian Army Officer),/hi/career/%e0%a4%ad%e0%a4%be%e0%a4%b0%e0%a4%a4%e0%a5%80%e0%a4%af-%e0%a4%a5%e0%a4%b2-%e0%a4%b8%e0%a5%87%e0%a4%a8%e0%a4%be-%e0%a4%85%e0%a4%a7%e0%a4%bf%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%80-indian-army-officer/
DF005,NA,Indian Navy Officer,/career/indian-navy-officer/
DF005,NA,भारतीय नौसेना अधिकारी (Indian Navy Officer),/hi/career/%e0%a4%ad%e0%a4%be%e0%a4%b0%e0%a4%a4%e0%a5%80%e0%a4%af-%e0%a4%a8%e0%a5%8c%e0%a4%b8%e0%a5%87%e0%a4%a8%e0%a4%be-%e0%a4%85%e0%a4%a7%e0%a4%bf%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%80-indian-navy-officer/
DF006,NA,ITBP officer,/career/itbp-officer/
DF006,NA,आई.टी.बी.पी. अधिकारी (ITBP officer),/hi/career/%e0%a4%86%e0%a4%88-%e0%a4%9f%e0%a5%80-%e0%a4%ac%e0%a5%80-%e0%a4%aa%e0%a5%80-%e0%a4%85%e0%a4%a7%e0%a4%bf%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%80-itbp-officer/
DF007,NA,CISF officer,/career/cisf-officer/
DF007,NA,सी.आई.एस.एफ. अधिकारी (CISF Officer),/hi/career/%e0%a4%b8%e0%a5%80-%e0%a4%86%e0%a4%88-%e0%a4%8f%e0%a4%b8-%e0%a4%8f%e0%a4%ab-%e0%a4%85%e0%a4%a7%e0%a4%bf%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%80-cisf-officer/
DF008,5414.02,Indian Home Guard,/career/indian-home-guard/
DF008,5414.02,भारतीय होमगार्ड (Indian Home Guard),/hi/career/%e0%a4%ad%e0%a4%be%e0%a4%b0%e0%a4%a4%e0%a5%80%e0%a4%af-%e0%a4%b9%e0%a5%8b%e0%a4%ae%e0%a4%97%e0%a4%be%e0%a4%b0%e0%a5%8d%e0%a4%a1-indian-home-guard/
DF009,NA,CRPF officer,/career/crpf-officer/
DF009,NA,सी.आर.पी.एफ. अधिकारी (CRPF Officer),/hi/career/%e0%a4%b8%e0%a5%80-%e0%a4%86%e0%a4%b0-%e0%a4%aa%e0%a5%80-%e0%a4%8f%e0%a4%ab-%e0%a4%85%e0%a4%a7%e0%a4%bf%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%80-crpf-officer/
DF010,NA,SSB – Sashastra Seema Bal officer,/career/ssb-sashastra-seema-bal-officer/
